chapter_id,chapter_sequence_no,book_id,author_id,published_date,tags
2812946,1,139726,66847,1990-03-22,Fantasy|Horror
4330764,2,139726,66847,1990-04-09,Fantasy|Young Adult|Literary Fiction
2664499,3,139726,66847,1990-04-07,Fantasy
2260666,4,139726,66847,1990-05-18,Literary Fiction|Fantasy
6069976,1,191772,62262,2008-07-30,Horror|Young Adult|Romance|Graphic Novel
1138081,2,191772,62262,2008-08-15,Young Adult|Paranormal|Dystopian
7547044,3,191772,62262,2008-08-13,Young Adult
6210574,4,191772,62262,2008-09-22,Literary Fiction|Young Adult
8177246,1,176806,79515,1995-12-06,Literary Fiction|Graphic Novel
1534446,2,176806,79515,1995-12-16,Dystopian|Literary Fiction
8301486,3,176806,79515,1995-12-22,Graphic Novel|Literary Fiction|Paranormal|Crime
3576848,4,176806,79515,1996-02-10,Science Fiction|Thriller|Literary Fiction
1940383,5,176806,79515,1996-03-31,Literary Fiction|Romance|Dystopian
9144235,6,176806,79515,1996-04-09,Literary Fiction|Historical Fiction|Graphic Novel|Crime
2878390,7,176806,79515,1996-05-16,Literary Fiction
4013747,8,176806,79515,1996-05-29,Paranormal|Literary Fiction
3992824,9,176806,79515,1996-04-04,Literary Fiction|Historical Fiction
1398578,10,176806,79515,1996-03-05,Romance|Fantasy|Literary Fiction|Mystery
6347031,11,176806,79515,1996-09-11,Mystery|Literary Fiction
4573354,12,176806,79515,1996-08-26,Historical Fiction|Literary Fiction|Fantasy|Humor
1053542,13,176806,79515,1996-04-16,Literary Fiction
5366463,14,176806,79515,1996-12-17,Literary Fiction
1965482,15,176806,79515,1996-04-10,Fantasy|Literary Fiction|Thriller
9420435,16,176806,79515,1996-06-03,Literary Fiction
3990404,17,176806,79515,1996-07-01,Literary Fiction
9867284,1,156904,72518,2010-02-09,Young Adult|Paranormal
3556662,2,156904,72518,2010-03-10,Paranormal
3365812,3,156904,72518,2010-03-15,Paranormal|Romance
4532790,1,286638,14234,2004-02-28,Adventure|Crime|Young Adult
2006421,2,286638,14234,2004-03-08,Young Adult|Crime
6260191,3,286638,14234,2004-04-12,Humor|Fantasy|Mystery|Young Adult
6158729,4,286638,14234,2004-04-01,Young Adult
9136918,5,286638,14234,2004-04-16,Young Adult|Mystery|Paranormal
6253675,6,286638,14234,2004-07-12,Paranormal|Young Adult|Fantasy
5481269,7,286638,14234,2004-05-10,Young Adult|Horror
7911313,8,286638,14234,2004-05-29,Young Adult
